a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,1372.4040401637303,1508.4040401637303,136,102,5,29.8,1000.0,Zelterman
-999.0,246.99166666666667,382.9916666666667,136,102,5,29.8,1000.0,Jackknife k = 4
-999.0,223.16666666666669,359.1666666666667,136,102,5,29.8,1000.0,Jackknife k = 3
-999.0,246.99166666666667,382.9916666666667,136,102,5,29.8,1000.0,Jackknife k = 5
-999.0,40265.091696845935,40401.091696845935,136,102,5,29.8,1000.0,Conway-Maxwell-Poisson
-999.0,615.2866122065667,751.2866122065667,136,102,5,29.8,1000.0,Turing
-999.0,175.09999999999997,311.09999999999997,136,102,5,29.8,1000.0,Jackknife k = 2
-999.0,101.60000000000002,237.60000000000002,136,102,5,29.8,1000.0,Jackknife k = 1
-999.0,1344.0833333333333,1480.0833333333333,136,102,5,29.8,1000.0,Chao
0.07877827210892985,6615.30766566656,6853.30766566656,238,102,10,30.5,1000.0,Pseudolikelihood
-999.0,891.4198159819393,1129.4198159819393,238,102,10,30.5,1000.0,Turing Geometric
-999.0,6.0704906746068445,244.07049067460684,238,102,10,30.5,1000.0,Huggins
-999.0,291.1343283582089,529.1343283582089,238,102,10,30.5,1000.0,Schnabel
-999.0,499.78618380350724,737.7861838035072,238,102,10,30.5,1000.0,Zelterman
-999.0,455.3672619047618,693.3672619047618,238,102,10,30.5,1000.0,Jackknife k = 4
-999.0,388.9041666666667,626.9041666666667,238,102,10,30.5,1000.0,Jackknife k = 3
-999.0,502.00152116402126,740.0015211640213,238,102,10,30.5,1000.0,Jackknife k = 5
-999.0,2021.0564317264107,2259.0564317264107,238,102,10,30.5,1000.0,Conway-Maxwell-Poisson
-999.0,343.96094041972424,581.9609404197242,238,102,10,30.5,1000.0,Turing
-999.0,296.68888888888887,534.6888888888889,238,102,10,30.5,1000.0,Jackknife k = 2
-999.0,171.0,409.0,238,102,10,30.5,1000.0,Jackknife k = 1
-999.0,487.8378378378378,725.8378378378378,238,102,10,30.5,1000.0,Chao
0.0692823282021766,10208.44638907898,10553.44638907898,345,102,15,29.866666666666667,1000.0,Pseudolikelihood
-999.0,1248.378662115672,1593.378662115672,345,102,15,29.866666666666667,1000.0,Turing Geometric
-999.0,4.979111414829276,349.9791114148293,345,102,15,29.866666666666667,1000.0,Huggins
-999.0,382.1456310679612,727.1456310679612,345,102,15,29.866666666666667,1000.0,Schnabel
-999.0,717.2342133196046,1062.2342133196046,345,102,15,29.866666666666667,1000.0,Zelterman
-999.0,712.0989010989013,1057.0989010989013,345,102,15,29.866666666666667,1000.0,Jackknife k = 4
-999.0,599.4637362637362,944.4637362637362,345,102,15,29.866666666666667,1000.0,Jackknife k = 3
-999.0,800.3930513930513,1145.3930513930513,345,102,15,29.866666666666667,1000.0,Jackknife k = 5
-999.0,1006.2772744721392,1351.2772744721392,345,102,15,29.866666666666667,1000.0,Conway-Maxwell-Poisson
-999.0,502.2709049286574,847.2709049286574,345,102,15,29.866666666666667,1000.0,Turing
-999.0,451.5428571428572,796.5428571428572,345,102,15,29.866666666666667,1000.0,Jackknife k = 2
-999.0,256.66666666666674,601.6666666666667,345,102,15,29.866666666666667,1000.0,Jackknife k = 1
-999.0,700.2314814814815,1045.2314814814815,345,102,15,29.866666666666667,1000.0,Chao
0.1695073396429392,4428.749829087884,4830.749829087884,402,102,20,27.4,1000.0,Pseudolikelihood
-999.0,1136.2334059818595,1538.2334059818595,402,102,20,27.4,1000.0,Turing Geometric
-999.0,3.916996690986366,405.91699669098637,402,102,20,27.4,1000.0,Huggins
-999.0,362.54794520547944,764.5479452054794,402,102,20,27.4,1000.0,Schnabel
-999.0,559.0252783195846,961.0252783195846,402,102,20,27.4,1000.0,Zelterman
-999.0,710.2894650842795,1112.2894650842795,402,102,20,27.4,1000.0,Jackknife k = 4
-999.0,620.7454678362575,1022.7454678362575,402,102,20,27.4,1000.0,Jackknife k = 3
-999.0,767.4484321250429,1169.448432125043,402,102,20,27.4,1000.0,Jackknife k = 5
-999.0,1264.438492383399,1666.438492383399,402,102,20,27.4,1000.0,Conway-Maxwell-Poisson
-999.0,450.59319864540555,852.5931986454056,402,102,20,27.4,1000.0,Turing
-999.0,484.08684210526314,886.0868421052631,402,102,20,27.4,1000.0,Jackknife k = 2
-999.0,284.04999999999995,686.05,402,102,20,27.4,1000.0,Jackknife k = 1
-999.0,551.858024691358,953.858024691358,402,102,20,27.4,1000.0,Chao
0.2543400521482404,5534.749172654446,5689.749172654446,155,103,5,33.2,1000.0,Pseudolikelihood
-999.0,2215.356641616929,2370.356641616929,155,103,5,33.2,1000.0,Turing Geometric
